Код","Название","Описание","Фото1","Фото2","Фото3","Фото4","Фото5","Цена за упаковку","Кол в упаковке","Цена опт ","наличие","рубрика","Детальноеописание","Nazvanie","Vitrina","Short","Vid","UAH"
"22029","Женские носки Bross","Женские носки Bross. Состав: бамбук 80%,  ПА 18%, эластан 2%. Размер: 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4411","IMG_4340","","","","300","12","25","1","5","","Zhenskie_noski_Bross_22029","","short","вид","UAH"
"22030","Женские носки Z&N модал","Женские носки Z&N модал. Состав: вискоза 70%, ПА 17%, эластан 3%. Цвет: белый. Размер: 35-38. Количество в упаковке 12 пар.","/pic/IMG_3440","","","","","220","12","18,3333333333333","1","5","","Zhenskie_noski_Z&N_22030","","short","вид","UAH"
"22031","Женские носки Z&N модал","Женские носки Z&N модал. Состав: вискоза 70%, ПА 17%, эластан 3%. Цвет: чёрный. Размер: 35-38. Количество в упаковке 12 пар.","/pic/IMG_3439","","","","","220","12","18,3333333333333","1","5","","Zhenskie_noski_Z&N_22031","","short","вид","UAH"
"22032","Женские носки Z&N модал","Женские носки Z&N модал. Состав: вискоза 70%, ПА 17%, эластан 3%. Цвет: ассорти. Размер: 35-38. Количество в упаковке 12 пар.","/pic/IMG_3870","","","","","220","12","18,3333333333333","1","5","","Zhenskie_noski_Z&N_22032","","short","вид","UAH"
"22033","Женские носки Z&N модал","Женские носки Z&N модал. Состав: вискоза 70%, ПА 17%, эластан 3%. Цвет: ассорти. Размер: 35-38. Количество в упаковке 12 пар.","/pic/IMG_3871","","","","","220","12","18,3333333333333","1","5","","Zhenskie_noski_Z&N_22033","","short","вид","UAH"
"22034","Женские носки Inaltun","Женские демисезонные носки Inaltun. Состав: хлопок 80%, ПА 17%, эластан 3%. Размер 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4045","","","","","160","12","13,3333333333333","1","5","","Zhenskie_demisezonnye_noski_Inaltun_22034","1","short","вид","UAH"
"22035","Женские носки Inaltun","Женские демисезонные носки Inaltun. Состав: хлопок 80%, ПА 17%, эластан 3%. Размер 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4046","","","","","160","12","13,3333333333333","1","5","","Zhenskie_demisezonnye_noski_Inaltun_22035","1","short","вид","UAH"
"22036","Женские носки Sunbella","Женские носки Sunbella. Состав: хлопок 80%, нейлон 16%, эластан 4%. Размер: 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_2909","IMG_2887","","","","165","12","13,75","1","5","","Zhenskie_noski_Sunbella_22036","","short","вид","UAH"
"22037","Женские носки Inaltun","Женские демисезонные носки Inaltun. Состав: хлопок 80%, ПА 17%, эластан 3%. Размер 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4047","","","","","160","12","13,3333333333333","1","5","","Zhenskie_demisezonnye_noski_Inaltun_22037","1","short","вид","UAH"
"22038","Женские носки Sunbella","Женские носки Sunbella. Состав: хлопок 80%, нейлон 16%, эластан 4%. Размер: 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_2907","IMG_2889","","","","165","12","13,75","1","5","","Zhenskie_noski_Sunbella_22038","","short","вид","UAH"
"22039","Женские носки Sunbella","Женские носки Sunbella. Состав: хлопок 80%, нейлон 16%, эластан 4%. Размер: 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_2904","IMG_2890","","","","165","12","13,75","1","5","","Zhenskie_noski_Sunbella_22039","","short","вид","UAH"
"22040","Женские носки Inaltun","Женские демисезонные носки Inaltun. Состав: хлопок 80%, ПА 17%, эластан 3%. Размер 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4048","","","","","160","12","13,3333333333333","1","5","","Zhenskie_demisezonnye_noski_Inaltun_22040","1","short","вид","UAH"
